RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
316,"Shane Larkin, PG",DAL,48,10.2,-1.45,-1.08,-2.53,-0.1
317,"Andris Biedrins, C",UTAH,6,7.5,-5.11,2.56,-2.55,0
318,"Mustafa Shakur, PG",OKC,3,3.7,-1.63,-0.92,-2.55,0
319,"Dewayne Dedmon, C",GS/ORL/PHI,31,12.6,-2.87,0.32,-2.55,-0.1
320,"Ed Davis, PF",MEM,63,15.2,-3.95,1.38,-2.57,-0.1
321,"Gerald Henderson, SG",CHA,77,32,-1.66,-0.96,-2.62,-0.4
322,"James Nunnally, SF",ATL/PHI,13,12.7,-2.36,-0.33,-2.69,0
323,"Jonas Valanciunas, C",TOR,81,28.2,-2.3,-0.4,-2.7,-0.5
324,"Reggie Bullock, SF",LAC,43,9.2,-3.18,0.46,-2.72,-0.1
325,"Mo Williams, PG",POR,74,24.8,0.21,-2.94,-2.73,-0.4
326,"Jordan Crawford, SG",BOS/GS,81,23,-0.24,-2.49,-2.73,-0.5
327,"Derrick Williams, PF",MIN/SAC,78,23.3,-2.05,-0.68,-2.73,-0.4
328,"Miroslav Raduljica, C",MIL,48,9.7,-2.47,-0.27,-2.74,-0.1
329,"Brandon Rush, SG",UTAH,38,11,-0.76,-2.02,-2.78,-0.1
330,"Dionte Christmas, SG",PHX,31,6.4,-1.31,-1.47,-2.78,-0.1
